GEO_ID,NAME,B25088_001E
39003,"Allen County, Ohio",819
39007,"Ashtabula County, Ohio",807
39013,"Belmont County, Ohio",723
39017,"Butler County, Ohio",1147
39023,"Clark County, Ohio",791
39025,"Clermont County, Ohio",1137
39029,"Columbiana County, Ohio",734
39035,"Cuyahoga County, Ohio",1086
39041,"Delaware County, Ohio",1892
39043,"Erie County, Ohio",953
39045,"Fairfield County, Ohio",1177
39049,"Franklin County, Ohio",1324
39055,"Geauga County, Ohio",1287
39057,"Greene County, Ohio",1147
39061,"Hamilton County, Ohio",1204
39063,"Hancock County, Ohio",821
39085,"Lake County, Ohio",1104
39089,"Licking County, Ohio",1205
39093,"Lorain County, Ohio",1033
39095,"Lucas County, Ohio",911
39099,"Mahoning County, Ohio",730
39101,"Marion County, Ohio",764
39103,"Medina County, Ohio",1207
39109,"Miami County, Ohio",959
39113,"Montgomery County, Ohio",987
39119,"Muskingum County, Ohio",827
39133,"Portage County, Ohio",1062
39139,"Richland County, Ohio",762
39141,"Ross County, Ohio",824
39145,"Scioto County, Ohio",666
39151,"Stark County, Ohio",851
39153,"Summit County, Ohio",1031
39155,"Trumbull County, Ohio",729
39157,"Tuscarawas County, Ohio",801
39159,"Union County, Ohio",1529
39165,"Warren County, Ohio",1375
39169,"Wayne County, Ohio",906
39173,"Wood County, Ohio",1034
